[|A0000000858000055361314|29032025|165829|C204416|]
[|A0000000858000055361342|29032025|165834|C204416|]
[|A0000000858000055360666|29032025|165837|C204416|]
[|A0000000858000055361354|29032025|165844|C204416|]
[|A0000000858000058111901|29032025|165850|C204416|]
[|A0000000858000055360651|29032025|165906|C204416|]
[|A0000000858000055361373|29032025|165909|C204416|]
[|A0000000858000057229943|29032025|170213|C204416|]
[|A0000000858000056273062|29032025|170217|C204416|]
[|A0000000858000055361335|29032025|170221|C204416|]
[|A0000000858000057841459|29032025|170223|C204416|]
[|A0000000858000059153253|29032025|170232|C204416|]
[|A0000000858000055360669|29032025|170237|C204416|]
[|A0000000858000055360658|29032025|170240|C204416|]
[|A0000000858000057755862|29032025|170241|C204416|]
[|A0000000858000057841487|29032025|170514|C204416|]
[|A0000000858000055361319|29032025|170516|C204416|]
[|A0000000858000055360654|29032025|170519|C204416|]
[|A0000000858000055361358|29032025|170521|C204416|]
[|A0000000858000055361289|29032025|170524|C204416|]
[|A0000000858000056263265|29032025|170533|C204416|]
[|A0000000858000057841491|29032025|170542|C204416|]
[|A0000000858000056263274|29032025|170545|C204416|]
[|A0000000858000057841498|29032025|170754|C204416|]
[|A0000000858000056263240|29032025|170756|C204416|]

